หน้า PDF,หน้าพิมพ์,ตัวเลขเดิม,ทศนิยมเดิม,หน่วย(ตรวจ),รูปแบบที่ควรเป็น,ต้องแก้,บริบท(OCR)
8,2,"19,882.4",1,ไม่ทราบหน่วย,"19,882.4",,"19,882.4   20,618.0 (eu รา"
8,2,"20,618.0",1,ไม่ทราบหน่วย,"20,618.0",,"882.4   20,618.0 (eu ราคาประจําปี"
8,2,1.5,1,ไม่ทราบหน่วย,1.5,,
8,2,2.5,1,ไม่ทราบหน่วย,2.5,,
8,2,1.7,1,ไม่ทราบหน่วย,1.7,,
8,2,2.7,1,ไม่ทราบหน่วย,2.7,,
8,2,2.0,1,ไม่ทราบหน่วย,2.0,,
8,2,3.0,1,ไม่ทราบหน่วย,3.0,,
8,2,2.3,1,ไม่ทราบหน่วย,2.3,,
8,2,3.3,1,ไม่ทราบหน่วย,3.3,,
8,2,0.5,1,ไม่ทราบหน่วย,0.5,,
8,2,1.5,1,ไม่ทราบหน่วย,1.5,,
8,2,1.0,1,ไม่ทราบหน่วย,1.0,,
8,2,2.0,1,ไม่ทราบหน่วย,2.0,,
9,3,3.0,1,ไม่ทราบหน่วย,3.0,,
9,3,"788,000",0,ล้านบาท,"788,000.0000",ใช่,"บ.  uA} 788,000 au งบประมาณ ผู| |"
9,3,"3,788,000",0,ล้านบาท,"3,788,000.0000",ใช่,"2570 | 3,788,000 ลบ. รอยล 8"
9,3,4.4,1,ไม่ทราบหน่วย,4.4,,4.4
9,3,3.9,1,ไม่ทราบหน่วย,3.9,,ล / GDP 3.9 4
9,3,3.3,1,ไม่ทราบหน่วย,3.3,,|   3.3 | x        | 2.7
9,3,2.7,1,ไม่ทราบหน่วย,2.7,,| 2.7 | 8
9,3,2.1,1,ไม่ทราบหน่วย,2.1,,2.1 2 1  ปิีงบประมาณ
9,3,"3,000,000",0,ล้านบาท,"3,000,000.0000",ใช่,"าลสุทธิ 3,000,000 ลบ.  uA} 788,000"
10,4,"584,300",0,ล้านบาท,"584,300.0000",ใช่,"ดเก็บ 3,584,300 au.  หักลด 584,30"
10,4,"3,788,000",0,ล้านบาท,"3,788,000.0000",ใช่,"G 2570  3,788,000 au.  ที่มา : กระท"
10,4,"3,584,300",0,ล้านบาท,"3,584,300.0000",ใช่,"จัดเก็บ 3,584,300 au.  หักลด 584,30"
10,4,"788,000",0,ล้านบาท,"788,000.0000",ใช่,"2570  3,788,000 au.  ที่มา : กระท"
10,4,"3,000,000",0,ล้านบาท,"3,000,000.0000",ใช่,"ินกู้ , 3,000,000 au.  SINUS:N1@UNI"
10,4,"2,517,700",0,ล้านบาท,"2,517,700.0000",ใช่,"การอื่น 2,517,700 au. 611,220 ลบ. 1"
10,4,"611,220",0,ล้านบาท,"611,220.0000",ใช่,"700 au. 611,220 ลบ. 116,000 ลบ. 1"
10,4,"116,000",0,ล้านบาท,"116,000.0000",ใช่,"220 ลบ. 116,000 ลบ. 183,500 ลบ. 1"
10,4,"183,500",0,ล้านบาท,"183,500.0000",ใช่,"000 ลบ. 183,500 ลบ. 155,880 au."
10,4,"155,880",0,ล้านบาท,"155,880.0000",ใช่,"500 ลบ. 155,880 au.  REVENUE รายไ"
11,5,"310,950.3",1,ล้านบาท,"310,950.3000",ใช่,"310,950.3 ล้านบาท  ง ป | (4"
11,5,8.2,1,ร้อยละ/สัดส่วน,8.2,,(8.2% ของงบประมาณ)  Ff
11,5,"12,868,850.9",1,ล้านบาท,"12,868,850.9000",ใช่,"2569 ก  12,868,850.9 ล้านบาท 66.8% ของ"
11,5,66.8,1,ร้อยละ/สัดส่วน,66.8,,ล้านบาท 66.8% ของ GDP  (กรอบวิ
11,5,"462,470.3",1,ล้านบาท,"462,470.3000",ใช่,"ปี 2570 462,470.3 ล้านบาท  omนม แนน"
11,5,"151,520",0,ล้านบาท,"151,520.0000",ใช่,"รมเนียม 151,520 ล้านบาท"
11,5,"341,018.2",1,ล้านบาท,"341,018.2000",ใช่,"69      341,018.2 ล้านบาท  ที่มา: 1"
12,6,"2,857,405.2",1,ล้านบาท,"2,857,405.2000",ใช่,") ก | 2,857,405.2 ล้านบาท /  J"
12,6,"151,520",0,ไม่ทราบหน่วย,"151,520",,
