หน้า PDF,หน้าพิมพ์,บรรทัดข้อความ,คำไทย(ประมาณ),คำที่มีสระ/วรรณยุกต์ (เสี่ยงลอย)
1,-,0,40,11
2,-,0,0,0
3,-,17,163,82
4,-,0,0,0
5,-,40,91,53
6,-,38,23,12
7,1,36,423,261
8,2,34,87,44
9,3,40,33,14
10,4,30,48,31
11,5,21,88,38
12,6,16,86,56
13,7,30,67,36
14,8,46,344,231
15,9,38,347,218
16,10,46,371,226
17,11,80,456,310
18,12,44,348,248
19,13,41,232,146
20,14,42,96,62
21,15,26,84,50
22,16,37,151,103
23,17,16,60,37
24,18,34,183,107
25,19,34,127,87
26,20,0,11,2
27,21,8,2,0
28,22,26,156,113
29,23,35,139,79
30,24,20,70,31
31,25,23,66,40
32,26,23,82,46
33,27,0,14,2
34,28,16,73,51
35,29,39,327,217
36,30,31,204,134
37,31,15,120,86
38,32,25,132,76
39,33,30,196,113
40,34,23,119,66
41,35,32,197,139
42,36,33,212,140
43,37,19,100,55
44,38,47,277,177
45,39,30,191,133
46,40,51,395,260
47,41,48,336,210
48,42,32,262,169
49,43,38,289,198
50,44,30,253,157
51,45,31,274,152
52,46,11,44,31
53,47,24,300,178
54,48,32,234,152
55,49,30,207,136
56,50,50,284,171
57,51,41,175,113
58,52,33,244,172
59,53,12,50,32
60,54,62,362,254
61,55,85,250,170
62,56,45,315,219
63,57,44,321,205
64,58,39,299,214
65,59,38,244,167
66,60,11,37,24
67,61,39,182,118
68,62,23,107,72
69,63,29,216,138
70,64,29,214,139
71,65,3,11,5
72,66,3,15,3
